,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
52,0.45,https://api.spotify.com/v1/audio-analysis/1qqEKh4wmdcQGG1c2z8sH0,0.311,94987,0.735,1qqEKh4wmdcQGG1c2z8sH0,0.0138,1,0.688,-6.164,1,0.246,113.484,1,https://api.spotify.com/v1/tracks/1qqEKh4wmdcQGG1c2z8sH0,audio_features,spotify:track:1qqEKh4wmdcQGG1c2z8sH0,0.443
53,0.348,https://api.spotify.com/v1/audio-analysis/4N5QbNdzjLT9jSdnCgIOxP,0.36,73733,0.624,4N5QbNdzjLT9jSdnCgIOxP,4.14e-06,1,0.264,-6.777,1,0.26,77.196,4,https://api.spotify.com/v1/tracks/4N5QbNdzjLT9jSdnCgIOxP,audio_features,spotify:track:4N5QbNdzjLT9jSdnCgIOxP,0.529
54,0.834,https://api.spotify.com/v1/audio-analysis/6cmt9CRoK0KGcNg9Tpje53,0.489,66133,0.624,6cmt9CRoK0KGcNg9Tpje53,0.347,4,0.325,-1.916,0,0.0344,167.108,4,https://api.spotify.com/v1/tracks/6cmt9CRoK0KGcNg9Tpje53,audio_features,spotify:track:6cmt9CRoK0KGcNg9Tpje53,0.574
55,0.983,https://api.spotify.com/v1/audio-analysis/6C1LUJQJp7dq0eDvKgw5Gj,0.124,72920,0.151,6C1LUJQJp7dq0eDvKgw5Gj,0.961,0,0.0885,-12.823,1,0.0341,78.461,4,https://api.spotify.com/v1/tracks/6C1LUJQJp7dq0eDvKgw5Gj,audio_features,spotify:track:6C1LUJQJp7dq0eDvKgw5Gj,0.0832
56,0.00461,https://api.spotify.com/v1/audio-analysis/4UADR6fNQfx4fxkiRQvSy2,0.483,295333,0.695,4UADR6fNQfx4fxkiRQvSy2,0.000661,0,0.102,-5.493,1,0.0313,126.212,4,https://api.spotify.com/v1/tracks/4UADR6fNQfx4fxkiRQvSy2,audio_features,spotify:track:4UADR6fNQfx4fxkiRQvSy2,0.294
57,0.0783,https://api.spotify.com/v1/audio-analysis/2ystHinBjK639vcRANDFaL,0.539,233560,0.714,2ystHinBjK639vcRANDFaL,0.318,4,0.119,-7.041,1,0.0274,124.873,4,https://api.spotify.com/v1/tracks/2ystHinBjK639vcRANDFaL,audio_features,spotify:track:2ystHinBjK639vcRANDFaL,0.399
58,0.0002,https://api.spotify.com/v1/audio-analysis/43E0f1S0rOGCo6YYRYHjHP,0.504,308347,0.682,43E0f1S0rOGCo6YYRYHjHP,0.00205,9,0.147,-5.702,1,0.0332,123.848,4,https://api.spotify.com/v1/tracks/43E0f1S0rOGCo6YYRYHjHP,audio_features,spotify:track:43E0f1S0rOGCo6YYRYHjHP,0.207
59,0.0399,https://api.spotify.com/v1/audio-analysis/2QaG8LwDIs9WYI8e0B6VPi,0.537,313187,0.535,2QaG8LwDIs9WYI8e0B6VPi,3.33e-05,3,0.067,-5.842,1,0.0284,117.895,3,https://api.spotify.com/v1/tracks/2QaG8LwDIs9WYI8e0B6VPi,audio_features,spotify:track:2QaG8LwDIs9WYI8e0B6VPi,0.324
60,0.667,https://api.spotify.com/v1/audio-analysis/2LHS9enFCzjnxoEnDIXy7j,0.383,133227,0.454,2LHS9enFCzjnxoEnDIXy7j,0.00192,0,0.0852,-9.471,0,0.0292,191.946,4,https://api.spotify.com/v1/tracks/2LHS9enFCzjnxoEnDIXy7j,audio_features,spotify:track:2LHS9enFCzjnxoEnDIXy7j,0.148
61,9.36e-05,https://api.spotify.com/v1/audio-analysis/0MYDACCBSzyuXD9BUHjgcF,0.561,207333,0.653,0MYDACCBSzyuXD9BUHjgcF,0.000267,1,0.0773,-6.9,0,0.0288,117.862,4,https://api.spotify.com/v1/tracks/0MYDACCBSzyuXD9BUHjgcF,audio_features,spotify:track:0MYDACCBSzyuXD9BUHjgcF,0.384
62,7.51e-05,https://api.spotify.com/v1/audio-analysis/20TfGN3X3b2hP861CVfzci,0.547,175467,0.755,20TfGN3X3b2hP861CVfzci,0.109,11,0.121,-4.708,1,0.0316,117.006,4,https://api.spotify.com/v1/tracks/20TfGN3X3b2hP861CVfzci,audio_features,spotify:track:20TfGN3X3b2hP861CVfzci,0.6
63,0.143,https://api.spotify.com/v1/audio-analysis/3MqVcAd41C9pC4RoS3IV1j,0.269,282400,0.372,3MqVcAd41C9pC4RoS3IV1j,0.0703,1,0.11,-5.977,1,0.0315,96.287,3,https://api.spotify.com/v1/tracks/3MqVcAd41C9pC4RoS3IV1j,audio_features,spotify:track:3MqVcAd41C9pC4RoS3IV1j,0.123
64,0.913,https://api.spotify.com/v1/audio-analysis/1V3iUwmio7uqKh2AtrkjZG,0.339,278053,0.174,1V3iUwmio7uqKh2AtrkjZG,1.52e-05,1,0.0939,-9.819,1,0.0296,94.646,3,https://api.spotify.com/v1/tracks/1V3iUwmio7uqKh2AtrkjZG,audio_features,spotify:track:1V3iUwmio7uqKh2AtrkjZG,0.0721
65,0.021,https://api.spotify.com/v1/audio-analysis/2ywFTaCXKedBFlYA0XcHJM,0.672,249794,0.519,2ywFTaCXKedBFlYA0XcHJM,0.868,4,0.333,-13.699,0,0.058,116.892,4,https://api.spotify.com/v1/tracks/2ywFTaCXKedBFlYA0XcHJM,audio_features,spotify:track:2ywFTaCXKedBFlYA0XcHJM,0.258
66,0.0849,https://api.spotify.com/v1/audio-analysis/3cD60ehaYbqG5wd86xWPeG,0.594,325013,0.459,3cD60ehaYbqG5wd86xWPeG,0.093,1,0.251,-10.061,1,0.0783,120.94,4,https://api.spotify.com/v1/tracks/3cD60ehaYbqG5wd86xWPeG,audio_features,spotify:track:3cD60ehaYbqG5wd86xWPeG,0.461
67,0.00136,https://api.spotify.com/v1/audio-analysis/1augrCXjdsWzHNWgZJk39X,0.481,280709,0.625,1augrCXjdsWzHNWgZJk39X,0.0241,6,0.129,-8.777,1,0.0674,117.887,4,https://api.spotify.com/v1/tracks/1augrCXjdsWzHNWgZJk39X,audio_features,spotify:track:1augrCXjdsWzHNWgZJk39X,0.557
68,0.209,https://api.spotify.com/v1/audio-analysis/0Ji2XruoSpoBuwtpk4zFct,0.46,264439,0.443,0Ji2XruoSpoBuwtpk4zFct,2.88e-05,6,0.104,-9.906,1,0.137,102.046,4,https://api.spotify.com/v1/tracks/0Ji2XruoSpoBuwtpk4zFct,audio_features,spotify:track:0Ji2XruoSpoBuwtpk4zFct,0.432
69,0.877,https://api.spotify.com/v1/audio-analysis/167USRtGXTBWIUX48Bho1p,0.249,256348,0.431,167USRtGXTBWIUX48Bho1p,0.0233,4,0.567,-11.391,1,0.0429,199.235,4,https://api.spotify.com/v1/tracks/167USRtGXTBWIUX48Bho1p,audio_features,spotify:track:167USRtGXTBWIUX48Bho1p,0.426
70,0.417,https://api.spotify.com/v1/audio-analysis/3L3DFS26cSCCzxcg5QXYpY,0.608,239640,0.448,3L3DFS26cSCCzxcg5QXYpY,7.67e-05,0,0.0924,-10.254,1,0.049,121.406,4,https://api.spotify.com/v1/tracks/3L3DFS26cSCCzxcg5QXYpY,audio_features,spotify:track:3L3DFS26cSCCzxcg5QXYpY,0.0892
71,0.531,https://api.spotify.com/v1/audio-analysis/3lpPyIWXJ4K8soUTJsmxOC,0.447,271139,0.541,3lpPyIWXJ4K8soUTJsmxOC,0.0211,6,0.119,-10.126,0,0.0517,119.567,4,https://api.spotify.com/v1/tracks/3lpPyIWXJ4K8soUTJsmxOC,audio_features,spotify:track:3lpPyIWXJ4K8soUTJsmxOC,0.352
72,1.09e-05,https://api.spotify.com/v1/audio-analysis/5YzBL3vkQnp3JbeDRRSbSQ,0.712,398151,0.601,5YzBL3vkQnp3JbeDRRSbSQ,0.802,5,0.0982,-8.968,1,0.062,124.912,4,https://api.spotify.com/v1/tracks/5YzBL3vkQnp3JbeDRRSbSQ,audio_features,spotify:track:5YzBL3vkQnp3JbeDRRSbSQ,0.513
