,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,target,tempo,time_signature,track_href,type,uri,valence
3282,0.000354,https://api.spotify.com/v1/audio-analysis/06T10fEzN8ZCcqzQZYA184,0.536,252653,0.89,06T10fEzN8ZCcqzQZYA184,0.00165,0,0.133,-5.222,1,0.0601,0,115.998,4,https://api.spotify.com/v1/tracks/06T10fEzN8ZCcqzQZYA184,audio_features,spotify:track:06T10fEzN8ZCcqzQZYA184,0.205
3283,0.0572,https://api.spotify.com/v1/audio-analysis/5xEM5hIgJ1jjgcEBfpkt2F,0.585,244507,0.776,5xEM5hIgJ1jjgcEBfpkt2F,7.74e-06,5,0.3,-5.898,1,0.0459,0,77.987,4,https://api.spotify.com/v1/tracks/5xEM5hIgJ1jjgcEBfpkt2F,audio_features,spotify:track:5xEM5hIgJ1jjgcEBfpkt2F,0.427
3284,0.00448,https://api.spotify.com/v1/audio-analysis/5zTzDqrEmseqL2G8ElgBu7,0.571,220627,0.932,5zTzDqrEmseqL2G8ElgBu7,0.00939,6,0.117,-3.68,0,0.0576,0,150.014,4,https://api.spotify.com/v1/tracks/5zTzDqrEmseqL2G8ElgBu7,audio_features,spotify:track:5zTzDqrEmseqL2G8ElgBu7,0.864
3285,0.000738,https://api.spotify.com/v1/audio-analysis/5HbCnVLXRyZVxnreOPgJCK,0.56,216600,0.959,5HbCnVLXRyZVxnreOPgJCK,0.000206,7,0.209,-2.433,1,0.102,0,163.983,4,https://api.spotify.com/v1/tracks/5HbCnVLXRyZVxnreOPgJCK,audio_features,spotify:track:5HbCnVLXRyZVxnreOPgJCK,0.67
3286,0.0602,https://api.spotify.com/v1/audio-analysis/19sHnxkLSuMjCfKSvdhS1c,0.426,266507,0.274,19sHnxkLSuMjCfKSvdhS1c,0.00185,5,0.0975,-14.259,1,0.0341,0,114.225,4,https://api.spotify.com/v1/tracks/19sHnxkLSuMjCfKSvdhS1c,audio_features,spotify:track:19sHnxkLSuMjCfKSvdhS1c,0.102
3287,3.57e-05,https://api.spotify.com/v1/audio-analysis/52mw6w5JBQ8ZqpqSUn5H70,0.236,256360,0.866,52mw6w5JBQ8ZqpqSUn5H70,0.00493,9,0.1,-7.296,1,0.0791,0,113.112,4,https://api.spotify.com/v1/tracks/52mw6w5JBQ8ZqpqSUn5H70,audio_features,spotify:track:52mw6w5JBQ8ZqpqSUn5H70,0.184
3288,0.000154,https://api.spotify.com/v1/audio-analysis/7yX8ayPTlR5kjECfCyS7ZN,0.457,326600,0.743,7yX8ayPTlR5kjECfCyS7ZN,0.000431,11,0.107,-7.835,0,0.0567,0,139.659,4,https://api.spotify.com/v1/tracks/7yX8ayPTlR5kjECfCyS7ZN,audio_features,spotify:track:7yX8ayPTlR5kjECfCyS7ZN,0.379
3289,0.000141,https://api.spotify.com/v1/audio-analysis/6ZXMvXg2zm5JfZJCBzjLI4,0.573,208800,0.797,6ZXMvXg2zm5JfZJCBzjLI4,0.000159,11,0.204,-4.162,0,0.0318,0,119.999,4,https://api.spotify.com/v1/tracks/6ZXMvXg2zm5JfZJCBzjLI4,audio_features,spotify:track:6ZXMvXg2zm5JfZJCBzjLI4,0.271
3290,0.000608,https://api.spotify.com/v1/audio-analysis/4CC83eLJxiqe72rBwyaLOf,0.486,278133,0.783,4CC83eLJxiqe72rBwyaLOf,0.00928,0,0.148,-7.108,1,0.0422,0,134.277,4,https://api.spotify.com/v1/tracks/4CC83eLJxiqe72rBwyaLOf,audio_features,spotify:track:4CC83eLJxiqe72rBwyaLOf,0.36
3291,0.000201,https://api.spotify.com/v1/audio-analysis/2P0nTjhW0m30V1ptBQqXyr,0.368,264293,0.902,2P0nTjhW0m30V1ptBQqXyr,0.0,7,0.14,-5.524,1,0.0661,0,112.64,4,https://api.spotify.com/v1/tracks/2P0nTjhW0m30V1ptBQqXyr,audio_features,spotify:track:2P0nTjhW0m30V1ptBQqXyr,0.228
